variable	Hazard_Ratio
METTL11B	1.18
METTL22	0.87
MGAT4B	1.17
MGAT5	1.16
MGST3	0.86
MICA	0.87
MLC1	0.86
MLLT1	1.16
MMP12	0.87
MOCS2	1.16
MOCS3	1.15
MON2	0.86
MORC2	0.87
MORC4	1.15
MOV10L1	0.85
MPDZ	1.16
MPHOSPH10	1.15
MPI	1.14
MPV17L2	0.87
MRAP	0.86
MRFAP1L1	1.15
MRI1	1.17
MROH6	1.17
MROH9	1.15
MRPL14	1.18
MRPL16	1.15
MRPL33	1.15
MRPL43	1.17
MRPL53	1.17
MRPS2	1.15
MRPS26	1.17
MRTFA	0.87
MS4A3	1.19
MS4A4E	0.85
MS4A6E	1.16
MSH3	0.87
MSRB2	1.14
MSTO1	0.87
MT.ND3	1.17
MT.ND4	1.15
MT1F	0.86
MT2A	0.86
MTG2	1.16
MTMR7	0.86
MTR	0.85
MTRF1L	1.14
MTUS1	1.17
MUC2	0.87
MUCL1	0.87
MUTYH	0.85
MYBL1	1.15
MYBPC1	0.86
MYH1	0.85
MYH15	1.14
MYH2	0.85
MYL2	0.87
MYLK	0.87
MYO3B	0.86
MYO5A	0.86
MYOG	1.23
MYOT	0.85
NAALAD2	0.86
NADSYN1	0.85
NAIP	0.87
NAPG	1.14
NAPSA	0.86
NAT16	1.14
NCALD	1.18
NDEL1	1.14
NDN	1.17
NDNF	0.86
NDST1	1.15
NDUFA3	1.15
NDUFB3	1.18
NECTIN2	1.16
NEK6	1.17
NEMP1	1.16
NEPRO	1.15
NEUROD1	0.78
NFATC1	0.88
NFE2L1	1.17
NGF	0.86
NHLH2	1.17
NIPBL	0.86
NIPSNAP3A	0.86
NKD2	1.17
NKG7	0.87
NKX2.8	1.19
NKX3.2	1.15
NKX6.2	0.81
NLN	0.87
NLRC4	0.87
NLRP14	0.88
NME7	1.18
NOL3	1.16
NOP56	1.15
NOP9	0.87
NOS1	0.86
NOTUM	1.17
NOVA1	0.87
NOX4	1.14
NPC1L1	0.87
NPFFR2	0.86
NPIPA1	0.86
NPIPA3	0.87
NPIPA5	0.85
NPIPB12	0.87
NPM1	1.15
NPRL2	0.85
NPY2R	1.21
NPY4R2	0.83
NR2C1	1.16
NRAP	0.86
NRIP2	1.15
NRP1	0.87
NSA2	1.17
NSG2	1.18
NSUN4	1.14
NUCKS1	1.17
NUDCD3	1.14
NUDT3	1.16
NUDT4	1.17
NUDT9	1.15
NUFIP2	1.17
NUP133	1.14
NUP37	1.14
NUP50	1.16
NUPR1	1.15
NUS1	1.14
NUTM1	1.18
NUTM2E	1.17
NWD2	1.16
NXF3	0.87
NXPH3	1.17
OCSTAMP	0.84
OGDHL	1.15
OGFOD1	1.17
OLR1	0.85
OPN1SW	1.17
OR13C5	0.79
OR14K1	0.86
OR1J4	0.87
OR1Q1	0.85
OR2AJ1	0.83
OR2C3	1.15
OR2F1	0.75
OR2H2	1.24
OR2M4	1.18
OR4F16	0.86
OR52B4	0.82
OR56A4	1.18
OR5B2	1.2
OR6A2	0.86
OR6C2	1.51
ORM1	1.15
OSM	0.87
OSR1	0.87
OSR2	0.85
OTOGL	0.87
OTOP2	1.19
OTUD3	1.17
OTUD5	0.85
OTUD7A	0.86
OXA1L	0.87
OXGR1	0.86
P2RX2	0.85
PABPN1	0.86
PAFAH1B1	1.16
PAG1	1.15
PAQR4	1.16
PAQR5	1.15
PARD6B	0.86
PARS2	1.14
PARVB	1.14
PATZ1	1.16
PAWR	1.15
PAX1	1.14
PAXIP1	0.86
PBDC1	0.85
PBXIP1	1.15
PC	1.15
PCBP1	1.14
PCDH18	0.88
PCDHA7	1.14
PCDHAC1	1.17
PCDHB12	1.15
PCDHB13	1.14
PCDHGA1	1.16
PCDHGA5	1.17
PCGF6	1.15
PCK2	0.85
PCNX1	0.85
PCYT2	1.15
PDAP1	1.16
PDE11A	1.15
PDE4A	0.87
PDE8B	0.87
PDGFB	1.17
PDGFC	0.87
PDGFRL	0.86
PDP2	1.15
PDPR	0.86
PDZD4	1.14
PDZD7	1.15
PEF1	1.16
PEG3	0.87
PEX6	1.17
PF4V1	1.15
PGAP3	1.17
PGBD1	1.15
PGBD2	1.16
PGLS	1.17
PGR	0.85
PHYHD1	0.87
PIAS2	0.86
PIAS3	1.17
PIGT	1.16
PIP	0.86
PIP4K2B	1.17
PIP5K1C	0.87
PIPOX	0.85
PIRT	1.25
PITPNA	1.15
PITX1	1.18
PKIB	1.17
PKIG	1.15
PKM	0.87
PKP1	1.17
PLA2G4C	0.87
PLA2G4E	1.16
PLAAT2	0.87
PLCXD1	0.86
PLEKHD1	0.85
PLEKHG2	0.87
PLEKHG3	1.17
PLEKHO1	0.85
PLK1	1.16
PLK5	0.87
PLPP3	1.15
PLXDC1	0.86
PLXND1	0.87
PMF1.BGLAP	0.85
PMP22	1.17
POC1A	1.16
POLE	0.86
POLE4	1.17
POLR1C	1.16
POLR2B	0.86
POLR2D	1.15
POLR2J2	0.87
POMGNT2	1.17
PON2	1.15
POPDC2	0.86
POTEB	1.25
POTEM	0.87
POU3F2	1.15
POU3F3	1.15
POU4F3	0.86
POU5F1B	1.15
PPARA	1.17
PPEF2	0.86
PPHLN1	1.15
PPIH	1.16
PPIP5K1	0.86
PPM1H	1.15
PPME1	1.16
PPP1CB	1.14
PPP1R11	1.16
PPP1R15A	0.86
PPP1R3B	1.15
PPP1R9A	1.16
PPP2CB	1.17
PPP2R2D	0.87
PPP2R3C	1.16
PPP6R1	0.87
PPP6R2	0.86
PPT2	1.17
PRB1	1.16
PRDM13	1.14
PRDM6	0.86
PREX1	0.86
PRG2	0.85
PRIMPOL	1.16
PRKAR2A	1.16
PRKCSH	0.85
PRKG1	0.86
PRMT1	1.17
PRMT3	0.87
PRMT8	1.17
PRMT9	0.86
PROK2	0.86
PRPF39	0.87
PRR13	1.16
PRR14	0.86
PRR23D1	0.86
PRR35	0.78
PRR5L	0.85
PRRG3	0.85
PRSS27	0.88
PRSS36	0.86
PRSS53	1.17
PRSS54	1.21
PSCA	1.16
PSEN1	0.86
PSG2	1.19
PSG3	1.21
PSG5	1.18
PSMB3	1.17
PSMD11	1.15
PSMG4	1.14
PTCD1	1.15
PTCH1	0.86
PTCRA	0.85
PTGES3L.AARSD1	0.87
PTH2R	0.87
PTK6	0.87
PTMA	0.86
PTPDC1	1.17
PTPN18	1.16
PTPN3	1.15
PTPRM	0.86
PTPRN	1.14
PTPRR	1.16
PUM3	1.16
PURB	1.17
PUS7L	1.15
PWP1	1.15
PWWP2B	1.17
PXYLP1	1.15
PZP	0.85
QTRT1	1.17
R3HCC1L	0.87
RAB14	1.15
RAB3GAP1	0.87
RAB3GAP2	1.17
RAB4B	1.16
RAB5C	1.17
RAB6C	1.17
RABGGTA	0.86
RAD18	1.17
RAD23A	1.15
RALGAPA1	0.87
RAMACL	0.87
RAMP2	1.17
RAP1A	1.17
RAP1B	1.15
RASGRP3	0.86
RASSF3	1.16
RB1	0.87
RBAK.RBAKDN	0.86
RBFOX1	0.87
RBM10	0.86
RBM11	1.15
RBM24	1.17
RBM3	1.16
RBM39	1.16
RBP2	1.25
RBP3	1.33
RBPJ	1.17
RBSN	1.15
RCBTB2	1.15
RDH5	0.87
RDH8	1.17
REELD1	0.87
REEP3	1.16
REEP4	1.15
RELN	0.87
RERE	0.85
RFC4	1.16
RFK	1.16
RFWD3	0.85
RFX4	1.15
RFX6	0.85
RFX7	0.87
RGS12	1.14
RGS8	0.86
RHOT2	0.86
RHOV	1.16
RIMBP2	0.86
RIOX1	1.16
RIT1	1.15
RNASE6	0.85
RNF103	1.16
RNF113A	1.14
RNF133	0.86
RNF14	1.18
RNF17	0.85
RNF180	0.86
RNF181	1.16
RNF182	0.88
RNF187	1.17
RNF220	0.87
RNF26	1.14
RPAP1	1.15
RPL10A	1.18
RPL14	1.17
RPL7L1	1.15
RPP25	1.15
RPRM	0.83
RPS29	1.17
RPS4Y2	0.84
RPS6KL1	1.15
RPSA	1.17
RPTN	0.86
RPTOR	0.85
RRN3	1.15
RRP12	0.85
RRP15	1.16
RRP9	1.15
RSAD1	1.16
RSPH10B	0.87
RSPRY1	1.15
RSU1	0.87
RTBDN	1.17
RTN3	1.16
RUBCNL	1.16
RUFY2	0.85
S100A5	0.87
S100A6	1.16
S100Z	0.87
SAMD14	1.17
SAMD15	1.17
SAMD7	0.72
SAP25	1.15
SAP30L	1.16
SAPCD1	0.87
SCAMP4	1.16
SCARF1	0.86
SCD5	1.16
SCLT1	0.87
SDCCAG8	0.86
SDK2	1.17
SDR39U1	1.15
SEC14L1	0.85
SEC14L3	0.77
SEC61A2	0.88
SELENOK	1.16
SEMA6A	1.15
SEMA7A	1.15
SENP6	0.86
SEPTIN3	1.16
SERF1A	0.87
SERGEF	0.86
SERTAD3	1.17
SETDB1	0.87
SF3B6	1.15
SFPQ	0.86
SFXN1	1.15
SGCZ	0.85
SGK1	0.85
SH2D6	0.87
SH3D21	1.15
SH3GL3	1.16
SH3TC2	1.17
SHBG	1.15
SHCBP1	1.17
SHISA4	1.17
SHISA9	1.18
SHLD1	1.15
SHPK	1.15
SHROOM4	0.87
SIAH2	1.16
SIGIRR	0.87
SIRPD	0.87
SIVA1	1.17
SIX2	0.87
SLC11A1	0.86
SLC13A2	0.84
SLC15A4	0.86
SLC16A11	0.85
SLC17A2	0.76
SLC17A5	0.85
SLC1A6	1.17
SLC20A2	1.17
SLC22A12	1.38
SLC22A18	1.15
SLC25A12	0.85
SLC25A18	0.86
SLC25A22	1.15
SLC25A25	0.87
SLC25A30	1.14
SLC25A42	0.87
SLC25A44	1.15
SLC27A6	0.86
SLC28A2	0.85
SLC2A8	1.16
SLC2A9	0.87
SLC30A10	1.16
SLC30A4	1.17
SLC35E2B	1.16
SLC35G5	0.87
SLC36A2	0.82
SLC38A1	0.86
SLC39A5	1.14
SLC43A1	0.87
SLC44A2	0.87
SLC44A3	1.16
SLC45A3	0.86
SLC48A1	1.18
SLC4A7	0.87
SLC66A2	1.14
SLC6A4	0.87
SLC9A3	1.15
SLC9A6	0.87
SLC9B1	0.86
SLITRK5	0.87
SMG1	0.86
SMIM2	0.83
SMPD4	1.17
SMU1	1.15
SMYD2	1.17
SNRK	0.86
SNRPD1	1.17
SNRPF	1.16
SNURF	0.85
SNX11	1.15
SNX30	0.87
SORBS3	1.16
SORCS3	1.17
SORL1	0.87
SOWAHA	1.18
SOX9	1.16
SPA17	1.16
SPACA3	0.85
SPAG7	1.14
SPANXA2	1.24
SPANXB1	1.22
SPCS3	1.15
SPDYA	1.17
SPDYE21	0.86
SPDYE3	0.85
SPDYE4	0.82
SPECC1L.ADORA2A	0.87
SPEG	1.16
SPIN2B	0.86
SPIN4	1.16
SPINDOC	1.18
SPINK2	0.86
SPIRE2	1.16
SPON1	0.86
SPRR1B	1.16
SPRR2G	1.16
SPRY3	1.14
SPRYD3	1.15
SPSB2	0.87
SPTSSA	1.15
SQSTM1	1.15
SRA1	1.14
SRARP	1.25
SRD5A2	1.14
SRF	1.15
SRP9	1.17
SSC4D	1.16
SSC5D	0.86
SSX1	1.15
SSX2IP	1.16
ST6GAL1	1.16
ST6GALNAC5	1.16
STARD5	0.86
STARD6	1.18
STARD7	1.16
STIL	0.87
STMN4	0.85
STRA8	1.17
STRIP2	0.86
STRN	0.85
STRN4	0.87
STX16.NPEPL1	0.86
STXBP3	0.85
STXBP4	1.15
STXBP5L	1.17
SUCO	1.17
SUN2	0.86
SUPT3H	1.17
SURF6	1.17
SYNGR3	0.87
SYS1.DBNDD2	1.15
SYT10	0.78
SYT6	0.87
SYVN1	0.87
TACC2	1.17
TACR1	0.86
TAF1	0.85
TAF10	1.16
TAF9	1.15
TAFA2	1.16
TANC2	1.17
TARS3	0.86
TAS2R5	0.87
TASOR	0.85
TBC1D22B	1.17
TBC1D26	1.18
TBC1D2B	0.86
TBC1D3C	1.16
TBC1D4	1.17
TBPL2	1.2
TCAF1	0.87
TCEA3	1.14
TCF7L2	0.87
TCHH	0.87
TCP1	1.17
TCTEX1D1	1.18
TDRD7	0.86
TDRKH	1.17
TDRP	1.17
TEDDM1	1.23
TESMIN	1.17
TET2	0.86
TEX38	1.18
TFAP2E	1.17
TGM1	0.87
TGM3	1.15
TGS1	1.15
THBS3	0.87
THBS4	1.16
THOC1	0.87
THOC2	0.86
THOC7	1.17
THUMPD3	1.16
TICAM2	0.87
TICRR	0.87
TIFA	0.87
TIGD3	0.85
TIMM23	0.85
TIMP1	1.15
TINAG	1.23
TKT	1.17
TLE1	0.88
TLE3	0.87
TM4SF4	1.15
TMCO1	1.16
TMEM100	1.17
TMEM104	1.17
TMEM106A	0.86
TMEM130	0.86
TMEM139	1.16
TMEM141	1.17
TMEM163	0.87
TMEM164	1.15
TMEM181	1.14
TMEM184B	1.17
TMEM199	1.18
TMEM200C	1.15
TMEM203	1.16
TMEM219	1.16
TMEM232	1.16
TMEM239	0.79
TMEM240	1.15
TMEM243	1.15
TMEM250	1.18
TMEM256.PLSCR3	0.87
TMEM263	1.14
TMEM53	1.18
TMEM59L	1.16
TMEM74	1.17
TMPPE	0.86
TMPRSS4	1.15
TMSB10	1.15
TMSB4Y	0.88
TMX1	1.15
TNFAIP8L3	0.86
TNFRSF11A	0.86
TNFSF12.TNFSF13	0.88
TNKS1BP1	1.17
TNNC1	0.85
TPGS1	1.17
TPMT	1.17
TPTEP2.CSNK1E	0.87
TRADD	0.86
TRAF2	0.85
TRAPPC11	0.87
TREM2	0.88
TRHR	1.23
TRIB1	1.17
TRIM11	1.14
TRIM29	0.87
TRIM38	0.87
TRIM40	0.76
TRIM62	1.16
TRIR	1.17
TRMT5	1.15
TRNP1	1.17
TRPC5OS	1.17
TRPC6	0.87
TRPM8	1.17
TSPAN13	1.16
TSPAN14	1.17
TSPAN17	1.15
TSPYL4	1.17
TTC19	1.16
TTC5	1.15
TTC8	1.14
TTF2	0.88
TTLL10	0.85
TTLL4	1.14
TTLL9	0.85
TUBA1A	0.86
TUBA3E	1.19
TUNAR	0.81
TUSC1	1.14
TVP23B	1.14
TXNDC12	1.17
TXNRD1	1.15
TYMS	1.16
TYSND1	1.17
TYW5	1.15
UBALD2	1.15
UBE2I	1.16
UBL4A	1.17
UBR3	0.86
UCK2	1.15
UEVLD	1.14
UFL1	0.87
UFSP2	0.87
UGT3A2	1.15
UHRF1BP1	1.14
UMOD	0.76
UNC93A	1.18
UQCRC1	1.17
USH2A	0.86
USP21	1.16
USP25	0.86
USP36	0.85
USP37	0.87
USP49	1.14
USP54	1.15
USP6	1.16
USP9Y	0.86
UTS2B	1.15
VAMP1	0.87
VANGL1	0.85
VANGL2	1.14
VAPA	1.16
VCAN	0.87
VCPIP1	1.15
VCX	0.87
VCX3B	0.86
VPS35L	0.86
VPS37B	1.17
VPS53	1.18
VPS72	1.17
VSTM4	0.87
WASHC4	0.86
WBP1L	1.16
WDHD1	1.16
WDR20	0.86
WDR31	1.15
WDR6	1.16
WDR72	0.87
WDR88	1.16
WEE2	0.86
WFDC1	1.16
WFS1	0.86
WNT4	1.16
WSB1	1.15
WWP2	0.86
XAGE1A	0.87
XAGE3	1.22
XKR3	0.87
XPO5	1.15
XPO7	1.15
XRN1	0.86
XXYLT1	1.17
YIPF7	1.15
YTHDC1	0.86
Z83844.2	0.86
ZAN	0.85
ZBED6	1.15
ZBED9	0.85
ZBTB34	1.17
ZC3H11B	0.87
ZC3H14	0.86
ZDHHC2	0.86
ZDHHC21	1.16
ZEB1	0.86
ZEB2	0.86
ZFAND2B	0.86
ZFP36L1	1.16
ZG16	1.28
ZGRF1	0.86
ZKSCAN1	1.16
ZKSCAN2	1.17
ZNF143	0.86
ZNF154	0.86
ZNF175	1.15
ZNF177	1.15
ZNF2	1.15
ZNF211	0.86
ZNF213	1.17
ZNF214	1.17
ZNF217	0.87
ZNF227	1.14
ZNF233	1.16
ZNF236	0.87
ZNF24	1.17
ZNF273	0.88
ZNF3	1.17
ZNF33B	0.86
ZNF346	1.15
ZNF354B	0.86
ZNF385A	0.87
ZNF397	1.15
ZNF41	0.87
ZNF423	0.86
ZNF436	1.15
ZNF446	1.14
ZNF449	1.16
ZNF470	1.17
ZNF491	1.18
ZNF503	1.16
ZNF506	0.87
ZNF516	1.16
ZNF519	0.86
ZNF524	1.17
ZNF543	0.85
ZNF544	1.18
ZNF551	0.86
ZNF554	0.87
ZNF557	0.86
ZNF564	0.87
ZNF567	1.16
ZNF586	0.88
ZNF596	1.15
ZNF606	1.17
ZNF615	0.88
ZNF620	1.17
ZNF627	1.15
ZNF695	1.15
ZNF700	0.85
ZNF721	0.85
ZNF723	0.85
ZNF729	0.86
ZNF736	0.86
ZNF768	1.16
ZNF773	0.86
ZNF813	1.17
ZNF83	1.14
ZNF836	0.87
ZNF98	0.85
ZSCAN18	1.14
ZSCAN2	1.17
ZSCAN30	1.16
ZYX	0.87
AAGAB	1.14
AARS1	0.89
AARSD1	1.12
ABCA13	1.14
ABCD3	0.89
ABCG4	1.13
ABHD14A	1.12
ABLIM3	0.88
ABR	1.12
ABRACL	1.13
ABRAXAS1	0.89
AC004706.3	1.14
AC005041.1	1.14
AC005726.1	0.88
AC005833.1	1.12
AC008481.3	0.83
AC008764.4	0.9
AC008878.1	0.88
AC009779.3	1.13
AC010197.2	0.89
AC010422.3	1.13
AC011499.1	1.13
AC013717.1	0.88
AC018362.3	0.88
AC018512.1	0.87
AC020907.6	0.9
AC020922.1	0.86
AC022415.2	1.14
AC036214.3	1.13
AC068533.4	0.89
AC068631.2	0.89
AC068896.1	1.12
AC069257.3	1.15
AC073612.1	0.87
AC090360.1	1.13
AC093323.1	1.12
AC093899.2	0.9
AC098588.2	0.88
AC099489.1	0.89
AC104472.3	1.12
AC105052.1	0.88
AC108941.2	1.16
AC117378.1	0.88
AC138969.1	0.89
ACP2	1.14
ACP6	1.12
ACR	0.88
ACTL6B	1.18
ACTL7B	0.87
ACTR1A	1.13
ACVR1B	1.14
ADAD2	0.9
ADAMTS12	0.89
ADAMTS4	1.14
ADAP1	0.89
ADAT3	1.14
ADD3	0.89
ADGRB3	1.12
ADH6	1.14
ADI1	1.14
ADSL	0.88
AFAP1L1	1.12
AFP	0.85
AGBL2	1.13
AGBL4	0.89
AGRP	0.88
AIFM2	1.12
AKNAD1	0.89
AKR1B10	0.89
AKR7A2	0.89
AL049650.1	1.11
AL121594.1	0.9
AL133353.2	0.89
AL135905.2	1.14
AL138752.2	0.89
AL139011.2	0.9
AL160269.1	1.14
AL162231.1	1.14
AL355987.1	0.85
AL583836.1	0.87
ALAD	1.14
ALDH3A1	0.88
ALDH4A1	1.12
ALG13	0.89
ALG1L2	0.9
ALG2	1.14
ALOX15	0.88
ALPL	1.11
AMIGO3	0.89
AMOTL1	1.12
AMOTL2	1.14
ANKRD13A	1.13
ANKRD16	0.89
ANKRD24	0.88
ANKRD49	0.88
ANXA1	0.88
ANXA5	1.12
AP002884.2	0.88
AP2A1	0.88
AP5B1	0.88
APOA5	1.18
APOB	0.89
APOBEC3B	0.88
APOBEC4	1.15
APOL5	0.87
APRT	0.88
ARAP1	0.88
ARF1	1.11
ARFGAP3	1.13
ARHGAP11A	0.88
ARHGAP5	1.13
ARHGAP6	0.9
ARHGEF26	1.11
ARL4C	0.89
ARMC3	1.13
ARMC7	1.12
ARMC8	1.13
ARMH1	0.88
ARNTL2	0.9
ARPC5	1.14
ARPIN	1.12
ARR3	1.13
ARRDC4	0.89
ARSB	1.12
ART1	0.87
ASB1	1.12
ASB15	1.18
ASCC2	0.88
ASTE1	1.14
ATAD3A	0.88
ATF6B	1.14
ATG14	1.13
ATG4A	0.89
ATP11A	0.9
ATP1B4	0.86
ATP2A1	0.89
ATP5F1C	1.12
ATP7A	1.14
AXIN2	0.88
B3GAT2	1.13
B3GNT4	1.12
BAIAP2L1	1.12
BARD1	0.89
BARHL2	1.11
BBC3	1.12
BBS1	0.9
BCAM	1.13
BCAS3	1.11
BCKDK	1.14
BCO1	0.89
BEAN1	0.89
BGN	0.89
BHLHE40	0.88
BIN1	0.88
BIRC6	0.89
BLOC1S3	1.12
BLOC1S5.TXNDC5	1.14
BMF	0.9
BMP8B	0.89
BOC	0.88
BOLA1	1.13
BORCS6	1.11
BORCS8.MEF2B	0.88
BPIFA2	1.18
BRAT1	1.14
BRD4	0.89
BRD8	1.12
BSDC1	1.13
BSN	1.12
BST1	0.88
BTBD9	1.14
BUD31	1.11
BX255925.3	1.12
BX470111.1	1.13
C11orf45	1.11
C11orf97	0.73
C11orf98	1.13
C12orf56	1.13
C16orf71	1.13
C19orf47	1.14
C19orf54	1.14
C1GALT1	1.14
C1orf158	1.2
C1orf159	0.89
C1orf194	1.14
C1orf210	1.13
C1orf68	1.13
C1QL4	1.12
C20orf202	0.88
C22orf15	0.88
C3orf62	0.9
C3orf80	1.14
C4BPA	1.13
C4BPB	0.88
C4orf51	1.18
C5AR2	0.89
C7	0.88
C7orf31	0.89
CA3	0.9
CACNA1B	0.89
CACNA1D	1.12
CACNB4	0.9
CALCR	1.13
CALHM1	0.87
CANT1	1.13
CAPN9	0.89
CARD10	1.13
CASKIN1	1.12
CASP14	1.14
CASP5	0.89
CATSPER4	1.2
CAV3	0.85
CBSL	1.11
CBWD1	0.88
CBX6	1.13
CBY2	0.85
CC2D2B	0.88
CCDC106	1.13
CCDC107	1.14
CCDC115	1.12
CCDC122	1.13
CCDC124	1.13
CCDC13	0.89
CCDC146	0.88
CCDC168	0.89
CCDC173	0.89
CCDC174	0.89
CCDC194	0.9
CCDC22	0.89
CCDC38	1.12
CCDC6	0.9
CCDC63	1.16
CCDC78	0.89
CCDC81	0.88
CCDC96	1.12
CCER2	0.88
CCL17	0.89
CCL2	0.89
CCL26	0.89
CCL27	1.12
CCL8	0.9
CCNT2	1.13
CCNYL1	1.13
CCR9	0.88
CD164L2	1.14
CD2BP2	1.13
CD300LD	0.84
CD47	0.88
CD55	1.12
CD58	0.9
CDC42BPB	0.89
CDH13	0.89
CDH19	1.13
CDK2	1.13
CDK5RAP1	1.12
CDKL2	0.89
CDS2	0.9
CEACAM3	0.89
CELF2	0.88
CELSR3	0.89
CEMP1	0.89
CENPT	1.14
CEP126	1.12
CEP350	0.88
CEP44	1.12
CEP89	1.11
CES5A	0.87
CETN2	1.14
CFAP221	0.89
CFAP300	0.88
CFAP44	0.88
CFAP52	1.12
CFAP57	0.9
CFAP69	0.89
CFAP92	1.12
CFC1	0.7
CFHR1	0.89
CGB1	1.17
CGN	0.89
CHD1	0.88
CHD5	0.89
CHEK1	1.14
CHKA	1.12
CHMP2B	1.14
CHMP3	1.11
CHP1	1.12
CHPF2	1.13
CHRNA7	0.9
CHRNB1	1.12
CHST1	1.12
CHST5	1.12
CHST8	0.88
CHST9	1.14
CHTOP	1.13
CIAO1	1.14
CIB4	1.23
CKMT2	0.9
CLCA1	1.17
CLDN15	0.89
CLDN22	1.11
CLDN4	0.89
CLINT1	0.89
CLIP1	0.89
CLP1	1.11
CLTRN	1.13
CMTM7	1.12
CMTR1	0.89
CNGA1	0.89
CNIH2	1.11
CNIH3	0.88
CNTD1	1.14
CNTN1	0.88
COA7	1.14
COCH	0.88
COG4	0.89
COL12A1	0.88
COL23A1	0.88
COL4A2	0.89
COL9A2	1.12
COLEC10	0.9
COMMD1	0.88
COPZ2	1.14
CORIN	1.13
CORO2A	0.89
COX10	0.89
COX18	1.13
COX4I1	1.13
CPA1	0.88
CPA2	0.88
CPA5	0.89
CPAMD8	0.89
CPB1	0.88
CPEB4	0.89
CPLX2	1.17
CPLX3	1.13
CPTP	1.12
CREB3L3	0.88
CREBBP	0.89
CREBZF	1.13
CREG1	1.12
CRELD2	1.11
CRHBP	1.13
CRHR1	1.14
CRNN	1.14
CRYAA	0.82
CRYAB	1.14
CRYZL1	1.13
CSH1	1.21
CSNK2B	1.13
CSPG4	1.13
CST2	0.89
CST5	0.87
CSTL1	0.78
CT45A3	1.15
CTBS	1.13
CTC1	0.88
CTDSP1	1.13
CTHRC1	1.13
CTRC	0.89
CTTNBP2	0.9
CUBN	1.12
CUL1	0.89
CWF19L2	0.88
CX3CL1	1.13
CXCR2	1.12
CXorf56	1.12
CXXC1	0.88
CYB561	1.12
CYP19A1	0.89
CYP27A1	1.11
CYP4A22	1.15
CYRIB	1.13
CYSRT1	1.13
DAG1	0.9
DAZ1	0.87
DBNL	0.88
DBR1	0.88
DCAF12L2	1.13
DCN	0.89
DDA1	1.12
DDIT4	1.12
DDTL	1.13
DDX28	1.11
DEFA3	1.15
DEGS2	0.89
DELE1	1.12
DENND2B	1.12
DENND2C	0.89
DENND5A	0.9
DENND5B	0.88
DGKZ	0.9
DHX36	1.12
DHX37	0.89
DIPK1C	0.89
DISP2	0.88
DLD	0.89
DLG5	1.13
DMD	0.89
DMP1	1.14
DNAAF3	0.88
DNAJC10	1.12
DNAJC28	1.13
DNAJC9	1.12
DNTTIP2	1.13
DOC2B	0.89
DPEP1	0.9
DPYSL3	1.14
DQX1	1.13
DRAM2	0.88
DSCAM	0.88
DTL	1.13
DUSP2	0.89
DXO	1.13
DYTN	1.24
E2F7	1.14
ECM1	0.89
ECSCR	0.88
ECSIT	1.12
EDC4	0.88
EDF1	0.88
EDN1	0.88
EEF1AKMT2	1.13
EFCAB2	1.12
EFNA3	1.13
EHF	0.88
EIF1AD	1.13
EIF3CL	0.88
EIF3D	1.13
EIF4ENIF1	0.88
ELANE	0.89
ELF2	0.89
ELOA2	0.87
ELP3	0.88
ELSPBP1	1.16
EMP1	1.13
ENDOV	1.13
ENHO	1.14
ENOSF1	1.12
ENOX1	1.11
ENTPD3	1.13
ENTPD8	0.88
ENTR1	1.12
EOLA1	0.89
EOLA2	0.89
EP400	0.89
EPB42	0.88
EPHA10	1.13
ERCC4	1.12
ERP29	1.13
ESPNL	0.89
EXO1	1.14
EYA4	1.12
F2R	1.13
F3	0.9
F8A1	0.89
F8A3	0.88
FADS2	0.89
FAHD2B	0.89
FAM102B	1.12
FAM111A	0.88
FAM118B	1.13
FAM131C	1.13
FAM133A	1.13
FAM136A	1.14
FAM167A	1.12
FAM172A	1.14
FAM184B	1.13
FAM189A1	1.14
FAM205A	0.87
FAM243B	1.16
FAM47A	0.7
FAM71F1	1.13
FAM78A	0.88
FAM81B	1.13
FAM83B	1.12
FAM86B1	0.89
FAM89B	1.11
FANCE	0.9
FAR1	1.12
FAR2	1.13
FBP2	0.88
FBXO40	0.88
FDFT1	1.13
FGF8	1.15
FGF9	0.9
FGFR2	0.88
FLACC1	0.89
FMN1	0.88
FMO5	1.14
FNIP1	1.12
FNIP2	0.9
FOSL1	1.14
FOXD3	1.11
FOXD4L4	0.89
FOXN2	1.13
FOXO4	1.13
FREM3	0.88
FRK	1.12
FRMD7	0.88
FSHR	1.18
FTO	0.89
FUBP1	0.9
FUT1	0.89
FXR1	0.89
FXYD2	0.89
FXYD7	0.89
G0S2	1.11
GABARAPL1	0.89
GABBR1	1.14
GABRR3	0.84
GAD1	1.11
GAGE1	0.88
GAL3ST4	1.11
GALNT1	1.12
GALNT10	1.13
GALNT14	1.14
GALNT18	0.9
GALNT4	1.13
GALNT7	1.12
GALNTL5	1.29
GAS1	1.11
GAS8	1.12
GATA1	0.89
GATA6	0.88
GBE1	1.13
GBX2	1.11
GCNT1	0.89
GEMIN8	1.12
GGA3	0.88
GHDC	1.12
GHR	1.14
GIN1	1.13
GJA10	0.84
GK5	1.14
GLI4	1.12
GLIPR1	0.89
GLIS2	0.88
GLRB	0.89
GLUL	0.89
GM2A	0.9
GMNC	1.17
GOLGA3	1.11
GOLGA6D	1.14
GOLGA6L1	0.81
GOLGA6L22	0.82
GOLGA7B	0.88
GOLPH3L	1.14
GP2	0.84
GPALPP1	1.13
GPHA2	1.15
GPR146	1.13
